latent_fingerprint,impression,removed_minutiae,d_minimum_rate,d_second_minimum_rate,d_third_minimum_rate,d_maximum_rate,d_second_maximum_rate,d_third_maximum_rate,d_median_rate,d_variance_rate,a_minimum_rate,a_second_minimum_rate,a_third_minimum_rate,a_maximum_rate,a_second_maximum_rate,a_third_maximum_rate,a_median_rate,a_variance_rate,b_minimum_rate,b_second_minimum_rate,b_third_minimum_rate,b_maximum_rate,b_second_maximum_rate,b_third_maximum_rate,b_median_rate,b_variance_rate,minimum_distance_to_centroid_rate,second_minimum_distance_to_centroid_rate,third_minimum_distance_to_centroid_rate,maximum_distance_to_centroid_rate,second_maximum_distance_to_centroid_rate,third_maximum_distance_to_centroid_rate,median_distances_to_centroid_rate,variance_distances_to_centroid_rate,convex_hull_minimum_distance_rate,convex_hull_maximum_distance_rate,convex_hull_median_distance_rate,convex_hull_variance_distance_rate,convex_hull_minutiae_number_rate,convex_hull_minutiae_number_inside_rate,convex_hull_area_rate,convex_hull_perimeter_rate,minimum_spanning_tree_total_cost_rate,minimum_spanning_tree_variance_rate,minimum_spanning_tree_median_rate,minimum_spanning_tree_minimum_cost_rate,minimum_spanning_tree_second_minimum_cost_rate,minimum_spanning_tree_third_minimum_cost_rate,minimum_spanning_tree_maximum_cost_rate,minimum_spanning_tree_second_maximum_cost_rate,minimum_spanning_tree_third_maximum_cost_rate,target_score_change
B102X0I_1_1.xml,B102X0I_1.xml,"(0,)",-0.36443904,-4.022981,-1.1388607,0.0,0.0,0.0,3.616429,-244.72687,0.0,0.0,0.0,1.2825212,0.22683504,0.74294674,5.1858206,197.54962,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-205.43913,3.1195593,-0.8385529,-1.6550732,-1.5070097,-1.9267759,-2.3134215,1.1959449,-94.55987,0.0,0.5616285,-0.33981115,268.3565,-1.0,2.0,895.5,2.017975,6.505384,-3.7427294,-1.1854211,-0.36443904,-4.022981,-1.1388607,0.0,-5.660141,0.0,-0.05833235
B102X0I_1_1.xml,B102X0I_1.xml,"(1,)",0.0,0.0,-1.1388607,0.0,0.0,0.0,-3.6792617,-146.6142,0.0,0.0,0.0,0.0,0.0,0.0,4.5258713,13.649541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-121.57387,0.7531098,-2.1776779,-0.9493189,1.200964,0.876255,0.5111156,-1.6168181,6.2302494,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.374013,-15.26458,-1.1854211,0.0,0.0,-1.1388607,0.0,-6.178932,0.0,0.09884111
B102X0I_1_1.xml,B102X0I_1.xml,"(2,)",0.0,0.0,0.0,18.81686,6.4640346,4.783432,1.0986651,234.82266,0.0,0.0,-1.0153692,0.0,0.0,0.0,-4.3814325,-132.61818,0.0,0.0,0.0,0.0,0.0,0.0,-2.5,-64.75726,-3.6696258,-5.35304,1.8413007,6.1771636,5.9850197,5.609407,-3.1114762,135.94888,-0.382994,0.0,-6.2921195,88.69263,1.0,0.0,700.0,23.394732,30.870699,-15.600611,-0.75840306,0.0,0.0,0.0,0.0,0.0,0.0,-0.5863898
B102X0I_1_1.xml,B102X0I_1.xml,"(3,)",-0.36443904,-4.022981,-1.1388607,0.0,0.0,0.0,-0.62349904,-237.85722,0.0,0.0,0.0,0.0,0.0,0.0,3.244297,125.32433,0.0,0.0,0.0,0.0,0.0,0.0,-2.5,-19.12404,2.9287357,-0.12482025,-0.9521546,-1.9484097,-2.273029,-2.5520067,1.5205009,-95.05946,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.3326883,-40.20098,-1.1854211,-0.36443904,-4.022981,-1.1388607,-7.8328366,0.0,0.0,-0.25790015
B102X0I_1_1.xml,B102X0I_1.xml,"(4,)",0.0,0.0,0.0,0.0,0.0,0.0,-0.62349904,49.765083,0.0,0.0,-1.0153692,0.0,0.0,0.0,1.2358694,-156.2694,0.0,0.0,0.0,0.0,0.0,0.0,-2.5,-44.624043,-1.6835886,-4.3716216,1.1634449,4.3214307,4.005458,3.559379,-1.1275034,13.765442,-0.382994,-34.21144,-6.2921195,-397.23517,1.0,0.0,446.5,0.8456536,34.058773,-15.165061,0.42701802,0.0,0.0,0.0,0.0,0.0,0.0,-0.37801328
B102X0I_1_1.xml,B102X0I_1.xml,"(5,)",0.0,0.0,-1.1388607,0.0,0.0,0.0,-3.8159869,-106.954895,0.0,0.0,0.0,0.0,0.05280074,0.1740343,1.2358694,53.303867,0.0,0.0,-1.0,0.0,1.0,0.0,-2.5,27.913805,0.06732426,-14.882422,-1.6333352,1.1330806,0.96593577,0.7629188,-1.7507168,73.60286,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8417827,-19.355087,-1.5940373,0.0,0.0,-1.1388607,0.0,-1.5967113,-3.4987164,-0.20887092
B102X0I_1_1.xml,B102X0I_1.xml,"(6,)",0.0,-4.022981,-1.1388607,0.0,0.0,0.0,-3.2615929,51.784924,0.0,0.0,0.0,0.0,0.0,0.0,0.36325693,92.08786,-1.0,0.0,-1.0,0.0,0.0,0.0,-2.5,31.275612,-2.1674032,-2.3379178,-0.9521546,3.1533012,3.1542685,3.0667825,-3.9919548,4.089879,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.542462,7.144556,-1.1854211,0.0,-4.022981,-1.1388607,0.0,0.0,0.0,-0.388531
B102X0I_1_1.xml,B102X0I_1.xml,"(7,)",0.0,0.0,0.0,0.0,0.0,4.051849,-0.62349904,151.02197,0.0,-0.23387346,-1.0153692,0.0,0.0,0.0,0.36325693,108.66059,-1.0,0.0,-1.0,0.0,0.0,0.0,-2.5,31.275612,-3.3214288,-3.5382414,0.05432216,4.700188,4.7029433,4.5721645,-2.739985,27.929024,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.4346957,1.2400678,-2.7794585,0.0,0.0,0.0,0.0,0.0,0.0,-0.26950884
B102X0I_1_1.xml,B102X0I_1.xml,"(8,)",0.0,0.0,0.0,0.0,6.4640346,4.051849,-0.62349904,153.96747,0.0,0.0,0.0,0.0,0.0,0.0,-0.31441355,145.62106,0.0,0.0,0.0,0.0,0.0,0.0,-2.5,29.61017,-4.256179,-3.2737863,-0.44196486,5.010746,5.171132,5.19521,-3.6537716,54.077526,0.0,0.0,-21.884361,9.392114,1.0,0.0,560.0,4.1951423,17.691807,-3.077363,-1.1854211,0.0,0.0,0.0,0.0,0.0,0.0,-0.3261924
B102X0I_1_1.xml,B102X0I_1.xml,"(9,)",0.0,0.0,0.0,0.0,0.0,0.0,-3.6792617,-127.62277,0.0,0.0,0.0,0.0,0.0,0.1740343,-1.5873673,-24.299473,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,19.305674,-5.5384192,-13.038704,-3.2392726,0.66455907,0.80501103,0.93249714,-1.7481604,104.15873,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.794879,-73.71535,0.42701802,0.0,0.0,0.0,0.0,-16.947945,-3.4987164,-0.2382319
