latent_fingerprint,impression,removed_minutiae,d_minimum_rate,d_second_minimum_rate,d_third_minimum_rate,d_maximum_rate,d_second_maximum_rate,d_third_maximum_rate,d_median_rate,d_variance_rate,a_minimum_rate,a_second_minimum_rate,a_third_minimum_rate,a_maximum_rate,a_second_maximum_rate,a_third_maximum_rate,a_median_rate,a_variance_rate,b_minimum_rate,b_second_minimum_rate,b_third_minimum_rate,b_maximum_rate,b_second_maximum_rate,b_third_maximum_rate,b_median_rate,b_variance_rate,minimum_distance_to_centroid_rate,second_minimum_distance_to_centroid_rate,third_minimum_distance_to_centroid_rate,maximum_distance_to_centroid_rate,second_maximum_distance_to_centroid_rate,third_maximum_distance_to_centroid_rate,median_distances_to_centroid_rate,variance_distances_to_centroid_rate,convex_hull_minimum_distance_rate,convex_hull_maximum_distance_rate,convex_hull_median_distance_rate,convex_hull_variance_distance_rate,convex_hull_minutiae_number_rate,convex_hull_minutiae_number_inside_rate,convex_hull_area_rate,convex_hull_perimeter_rate,minimum_spanning_tree_total_cost_rate,minimum_spanning_tree_variance_rate,minimum_spanning_tree_median_rate,minimum_spanning_tree_minimum_cost_rate,minimum_spanning_tree_second_minimum_cost_rate,minimum_spanning_tree_third_minimum_cost_rate,minimum_spanning_tree_maximum_cost_rate,minimum_spanning_tree_second_maximum_cost_rate,minimum_spanning_tree_third_maximum_cost_rate,target_score_change
B101X9I_1_1.xml,B101X9I_1.xml,"(0,)",0.0,0.0,0.0,0.0,0.0,0.0,-8.214094,-152.18912,0.0,0.0,0.0,0.0,0.0,0.58539367,0.70037156,43.25577,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-46.88363,-5.8526735,-23.585785,-7.669238,0.14361317,0.12368308,0.5666459,-2.153859,130.10382,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.078974,-29.21642,-3.312279,0.0,0.0,0.0,0.0,-4.7564435,-0.53965557,-0.3062786
B101X9I_1_1.xml,B101X9I_1.xml,"(1,)",0.0,0.0,0.0,0.0,0.0,0.0,0.088551745,-229.01387,0.0,-1.6259507,-4.337163,0.0,1.8790933,0.58539367,2.2854383,29.532248,0.0,-2.0,-1.0,0.0,0.0,7.0,-2.5,83.75739,-0.6837234,0.4326907,-4.7709503,-2.9169657,-2.9387167,1.9670743,-3.7757378,-87.055855,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.566145,-61.005775,0.43657747,0.0,0.0,0.0,0.0,-8.20772,-7.886968,-0.2180147
B101X9I_1_1.xml,B101X9I_1.xml,"(2,)",0.0,0.0,0.0,0.0,0.0,0.0,1.5951825,271.71625,0.0,0.0,0.0,0.0,0.0,0.0,0.88479465,-146.06879,-1.0,-2.0,-1.0,0.0,1.0,7.0,-3.0,82.83301,-1.9017763,-2.015463,0.33961967,-8.088946,39.068893,9.003099,0.36670068,66.11189,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0586364,-103.19341,-3.7488565,0.0,0.0,0.0,-15.405613,0.0,0.0,0.013819115
B101X9I_1_1.xml,B101X9I_1.xml,"(3,)",0.0,0.0,-0.99762756,0.0,0.0,0.0,-2.6970263,85.77418,0.0,0.0,-18.371363,3.9091525,1.8790933,3.915306,-0.4952288,200.33968,0.0,-2.0,-1.0,1.0,1.0,7.0,-3.5,78.08942,-1.3764596,-0.39795062,3.6841726,3.8182955,3.8192413,-1.8104604,0.20393962,-5.6182985,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.74788,-1.9189434,-3.7488565,0.0,0.0,-0.99762756,0.0,-2.287789,0.0,0.25447792
B101X9I_1_1.xml,B101X9I_1.xml,"(4,)",0.0,0.0,0.0,17.27999,17.463528,17.423983,5.0990496,584.971,0.0,0.0,0.0,0.0,0.0,0.0,2.9777868,-132.33992,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,81.2117,-2.5107894,-2.8857298,1.6665261,7.7653475,39.282074,7.8993506,1.6842617,240.92395,0.0,14.524245,0.0,461.6939,0.0,1.0,1044.5,31.026419,17.464249,-5.4623265,-3.7488565,0.0,0.0,0.0,0.0,0.0,0.0,0.25152415
B101X9I_1_1.xml,B101X9I_1.xml,"(5,)",0.0,0.0,0.0,0.0,0.0,0.0,-8.214094,-169.56763,-1.7029519,-1.6259507,-4.337163,0.0,0.0,0.58539367,1.5851662,107.45401,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,67.27285,1.1995556,-23.25822,-6.9953136,-0.05181337,-0.018811945,-1.081007,-0.5663714,71.50878,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22.232483,-21.827085,-3.312279,0.0,0.0,0.0,0.0,-2.287789,-0.53965557,-0.4530491
B101X9I_1_1.xml,B101X9I_1.xml,"(6,)",0.0,0.0,0.0,0.0,0.0,0.0,0.059042122,-231.86926,0.0,0.0,0.0,0.0,1.8790933,0.58539367,2.111399,20.848461,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,78.73833,1.5024328,-2.0581388,-3.2670195,-3.7635653,-3.7223265,0.12296675,-2.215793,-124.120186,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25.648813,-56.74263,0.43657747,0.0,0.0,0.0,-6.9088287,0.0,0.0,-0.24142426
B101X9I_1_1.xml,B101X9I_1.xml,"(7,)",0.0,0.0,0.0,0.0,0.0,0.0,1.4273971,-111.1058,0.0,0.0,0.0,3.9091525,1.8790933,0.58539367,0.70037156,129.80324,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-34.16568,3.29258,-4.8757296,3.313026,2.2134266,2.3336966,1.8752675,1.6558877,-17.692373,0.0,57.458748,9.6109705,1356.9176,-1.0,2.0,2090.5,27.012453,24.186773,-15.213681,-3.7488565,0.0,0.0,0.0,0.0,0.0,0.0,-0.17209016
B101X9I_1_1.xml,B101X9I_1.xml,"(8,)",0.0,0.0,0.0,0.0,0.0,0.0,0.2858696,-260.1543,-3.3289025,-5.963114,-17.403936,0.0,0.0,0.0,-5.3690586,163.5969,0.0,0.0,0.0,10.0,15.0,17.0,9.0,410.06573,-3.06549,2.9792664,-3.1319373,-2.128453,-2.239861,2.120862,0.94550925,-92.06687,6.577381,-3.0788324,13.804845,-2209.4392,0.0,1.0,3060.0,11.6251745,39.824615,-6.3299084,0.43657747,0.0,0.0,0.0,0.0,0.0,0.0,-0.27716684
B101X9I_1_1.xml,B101X9I_1.xml,"(9,)",0.0,0.0,-0.99762756,0.0,0.0,0.0,-4.144806,76.14068,0.0,0.0,0.0,0.0,0.0,0.0,-4.239083,-61.636806,0.0,0.0,0.0,0.0,0.0,0.0,0.5,134.99672,-2.0842366,0.67212856,3.0361562,3.466214,3.437208,-1.4813911,-0.86903095,-6.2893867,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.035668,2.6530159,-3.7488565,0.0,0.0,-0.99762756,0.0,0.0,0.0,0.24028811
